FROM,TO,DISTANCE,PRICE
NGAWI,MADIUN,38,4560
CIREBON,INDRAMAYU,55,6600
BANDUNG,PURWAKARTA,62,7440
SOLO,YOGYAKARTA,65,7800
CIREBON,TEGAL,79,9480
SOLO,NGAWI,83,9960
JABODETABEK,SERANG,83,9960
TEGAL,PEKALONGAN,90,10800
PEKALONGAN,SEMARANG,93,11160
SURABAYA,MALANG,96,11520
BANDUNG,SUKABUMI,97,11640
SURABAYA,PULAU MADURA,98,11760
JABODETABEK,PURWAKARTA,100,12000
TEGAL,PURWOKERTO,106,12720
SOLO,SEMARANG,107,12840
CIREBON,TASIKMALAYA,109,13080
BANYUWANGI,BALI,138,49680
CIREBON,BANDUNG,141,16920
SURABAYA,NGAWI,183,21960
BANYUWANGI,MALANG,311,37320
